Images read by center camera,Images read by Left camera,Images read by Right Camera,Steering ,Throttle,Brake,speed
Center_2021_08_22_22_35_17_085.jpg,Left_2021_08_22_22_35_17_085.jpg,Right_2021_08_22_22_35_17_085.jpg,0,0,0,7.930549
Center_2021_08_22_22_35_17_178.jpg,Left_2021_08_22_22_35_17_178.jpg,Right_2021_08_22_22_35_17_178.jpg,-0.15,0,0,7.846144
Center_2021_08_22_22_35_17_271.jpg,Left_2021_08_22_22_35_17_271.jpg,Right_2021_08_22_22_35_17_271.jpg,-0.35,0,0,7.757045
Center_2021_08_22_22_35_17_367.jpg,Left_2021_08_22_22_35_17_367.jpg,Right_2021_08_22_22_35_17_367.jpg,-0.6000001,0,0,7.61945
Center_2021_08_22_22_35_17_460.jpg,Left_2021_08_22_22_35_17_460.jpg,Right_2021_08_22_22_35_17_460.jpg,-0.8500001,0,0,7.45527
Center_2021_08_22_22_35_17_556.jpg,Left_2021_08_22_22_35_17_556.jpg,Right_2021_08_22_22_35_17_556.jpg,-1,0,0,7.308202
Center_2021_08_22_22_35_17_652.jpg,Left_2021_08_22_22_35_17_652.jpg,Right_2021_08_22_22_35_17_652.jpg,0,0,0,7.08586
Center_2021_08_22_22_35_17_747.jpg,Left_2021_08_22_22_35_17_747.jpg,Right_2021_08_22_22_35_17_747.jpg,0,0,0,7.008491
Center_2021_08_22_22_35_17_844.jpg,Left_2021_08_22_22_35_17_844.jpg,Right_2021_08_22_22_35_17_844.jpg,0,0,0,6.937979
Center_2021_08_22_22_35_17_934.jpg,Left_2021_08_22_22_35_17_934.jpg,Right_2021_08_22_22_35_17_934.jpg,0,0,0,6.882216
Center_2021_08_22_22_35_18_027.jpg,Left_2021_08_22_22_35_18_027.jpg,Right_2021_08_22_22_35_18_027.jpg,0,0.2797074,0,7.036556
Center_2021_08_22_22_35_18_122.jpg,Left_2021_08_22_22_35_18_122.jpg,Right_2021_08_22_22_35_18_122.jpg,0,0.5643318,0,7.563905
Center_2021_08_22_22_35_18_214.jpg,Left_2021_08_22_22_35_18_214.jpg,Right_2021_08_22_22_35_18_214.jpg,0,0.8414172,0,8.231512
Center_2021_08_22_22_35_18_308.jpg,Left_2021_08_22_22_35_18_308.jpg,Right_2021_08_22_22_35_18_308.jpg,0,1,0,9.334308
Center_2021_08_22_22_35_18_403.jpg,Left_2021_08_22_22_35_18_403.jpg,Right_2021_08_22_22_35_18_403.jpg,-0.25,1,0,10.42974
Center_2021_08_22_22_35_18_499.jpg,Left_2021_08_22_22_35_18_499.jpg,Right_2021_08_22_22_35_18_499.jpg,-0.5000001,1,0,11.56097
Center_2021_08_22_22_35_18_596.jpg,Left_2021_08_22_22_35_18_596.jpg,Right_2021_08_22_22_35_18_596.jpg,-0.7,1,0,12.35425
Center_2021_08_22_22_35_18_691.jpg,Left_2021_08_22_22_35_18_691.jpg,Right_2021_08_22_22_35_18_691.jpg,0,1,0,13.08492
Center_2021_08_22_22_35_18_780.jpg,Left_2021_08_22_22_35_18_780.jpg,Right_2021_08_22_22_35_18_780.jpg,0,1,0,14.22926
Center_2021_08_22_22_35_18_871.jpg,Left_2021_08_22_22_35_18_871.jpg,Right_2021_08_22_22_35_18_871.jpg,0,1,0,15.0306
Center_2021_08_22_22_35_18_965.jpg,Left_2021_08_22_22_35_18_965.jpg,Right_2021_08_22_22_35_18_965.jpg,0,1,0,16.04554
Center_2021_08_22_22_35_19_059.jpg,Left_2021_08_22_22_35_19_059.jpg,Right_2021_08_22_22_35_19_059.jpg,0,1,0,17.14756
Center_2021_08_22_22_35_19_152.jpg,Left_2021_08_22_22_35_19_152.jpg,Right_2021_08_22_22_35_19_152.jpg,-0.2,1,0,17.95357
Center_2021_08_22_22_35_19_245.jpg,Left_2021_08_22_22_35_19_245.jpg,Right_2021_08_22_22_35_19_245.jpg,0,1,0,18.94411
Center_2021_08_22_22_35_19_335.jpg,Left_2021_08_22_22_35_19_335.jpg,Right_2021_08_22_22_35_19_335.jpg,0,1,0,19.7591
Center_2021_08_22_22_35_19_428.jpg,Left_2021_08_22_22_35_19_428.jpg,Right_2021_08_22_22_35_19_428.jpg,0,1,0,20.77595
Center_2021_08_22_22_35_19_522.jpg,Left_2021_08_22_22_35_19_522.jpg,Right_2021_08_22_22_35_19_522.jpg,-0.15,1,0,21.76973
Center_2021_08_22_22_35_19_611.jpg,Left_2021_08_22_22_35_19_611.jpg,Right_2021_08_22_22_35_19_611.jpg,-0.35,1,0,22.50465
Center_2021_08_22_22_35_19_704.jpg,Left_2021_08_22_22_35_19_704.jpg,Right_2021_08_22_22_35_19_704.jpg,-0.6000001,1,0,23.31218
Center_2021_08_22_22_35_19_793.jpg,Left_2021_08_22_22_35_19_793.jpg,Right_2021_08_22_22_35_19_793.jpg,-0.8000001,1,0,23.86993
Center_2021_08_22_22_35_19_885.jpg,Left_2021_08_22_22_35_19_885.jpg,Right_2021_08_22_22_35_19_885.jpg,0,1,0,24.74457
Center_2021_08_22_22_35_19_976.jpg,Left_2021_08_22_22_35_19_976.jpg,Right_2021_08_22_22_35_19_976.jpg,0,1,0,25.49619
Center_2021_08_22_22_35_20_069.jpg,Left_2021_08_22_22_35_20_069.jpg,Right_2021_08_22_22_35_20_069.jpg,0,1,0,26.44413
Center_2021_08_22_22_35_20_161.jpg,Left_2021_08_22_22_35_20_161.jpg,Right_2021_08_22_22_35_20_161.jpg,0,1,0,27.38619
Center_2021_08_22_22_35_20_248.jpg,Left_2021_08_22_22_35_20_248.jpg,Right_2021_08_22_22_35_20_248.jpg,0,1,0,28.13304
Center_2021_08_22_22_35_20_341.jpg,Left_2021_08_22_22_35_20_341.jpg,Right_2021_08_22_22_35_20_341.jpg,0,1,0,29.05847
Center_2021_08_22_22_35_20_432.jpg,Left_2021_08_22_22_35_20_432.jpg,Right_2021_08_22_22_35_20_432.jpg,0,1,0,29.79209
Center_2021_08_22_22_35_20_522.jpg,Left_2021_08_22_22_35_20_522.jpg,Right_2021_08_22_22_35_20_522.jpg,-0.25,1,0,30.17491
Center_2021_08_22_22_35_20_610.jpg,Left_2021_08_22_22_35_20_610.jpg,Right_2021_08_22_22_35_20_610.jpg,-0.45,0.7328161,0,30.07235
Center_2021_08_22_22_35_20_699.jpg,Left_2021_08_22_22_35_20_699.jpg,Right_2021_08_22_22_35_20_699.jpg,-0.7,0.4672459,0,29.97863
Center_2021_08_22_22_35_20_796.jpg,Left_2021_08_22_22_35_20_796.jpg,Right_2021_08_22_22_35_20_796.jpg,0,0.1742218,0,29.78896
Center_2021_08_22_22_35_20_886.jpg,Left_2021_08_22_22_35_20_886.jpg,Right_2021_08_22_22_35_20_886.jpg,0,0,0,29.48238
Center_2021_08_22_22_35_20_977.jpg,Left_2021_08_22_22_35_20_977.jpg,Right_2021_08_22_22_35_20_977.jpg,0,0,0,29.23685
Center_2021_08_22_22_35_21_066.jpg,Left_2021_08_22_22_35_21_066.jpg,Right_2021_08_22_22_35_21_066.jpg,0,0,0,28.94156
Center_2021_08_22_22_35_21_162.jpg,Left_2021_08_22_22_35_21_162.jpg,Right_2021_08_22_22_35_21_162.jpg,0,0,0,28.65082
Center_2021_08_22_22_35_21_253.jpg,Left_2021_08_22_22_35_21_253.jpg,Right_2021_08_22_22_35_21_253.jpg,0,0,0,28.42044
Center_2021_08_22_22_35_21_346.jpg,Left_2021_08_22_22_35_21_346.jpg,Right_2021_08_22_22_35_21_346.jpg,0,0,0,28.13506
Center_2021_08_22_22_35_21_440.jpg,Left_2021_08_22_22_35_21_440.jpg,Right_2021_08_22_22_35_21_440.jpg,0,0,0,27.85253
Center_2021_08_22_22_35_21_534.jpg,Left_2021_08_22_22_35_21_534.jpg,Right_2021_08_22_22_35_21_534.jpg,0,0,0,27.62851
Center_2021_08_22_22_35_21_627.jpg,Left_2021_08_22_22_35_21_627.jpg,Right_2021_08_22_22_35_21_627.jpg,0,0,0,27.35102
Center_2021_08_22_22_35_21_720.jpg,Left_2021_08_22_22_35_21_720.jpg,Right_2021_08_22_22_35_21_720.jpg,0,0,0,27.0764
Center_2021_08_22_22_35_21_809.jpg,Left_2021_08_22_22_35_21_809.jpg,Right_2021_08_22_22_35_21_809.jpg,0,0,0,26.85864
Center_2021_08_22_22_35_21_905.jpg,Left_2021_08_22_22_35_21_905.jpg,Right_2021_08_22_22_35_21_905.jpg,0,0,0,26.58896
Center_2021_08_22_22_35_21_996.jpg,Left_2021_08_22_22_35_21_996.jpg,Right_2021_08_22_22_35_21_996.jpg,0,0.273174,0,26.53642
Center_2021_08_22_22_35_22_089.jpg,Left_2021_08_22_22_35_22_089.jpg,Right_2021_08_22_22_35_22_089.jpg,0,0.5522448,0,26.79102
Center_2021_08_22_22_35_22_181.jpg,Left_2021_08_22_22_35_22_181.jpg,Right_2021_08_22_22_35_22_181.jpg,0,0.8237733,0,27.40165
Center_2021_08_22_22_35_22_270.jpg,Left_2021_08_22_22_35_22_270.jpg,Right_2021_08_22_22_35_22_270.jpg,0,1,0,28.10596
Center_2021_08_22_22_35_22_364.jpg,Left_2021_08_22_22_35_22_364.jpg,Right_2021_08_22_22_35_22_364.jpg,-0.15,0.8545969,0,28.94299
Center_2021_08_22_22_35_22_452.jpg,Left_2021_08_22_22_35_22_452.jpg,Right_2021_08_22_22_35_22_452.jpg,-0.35,0.5879707,0,29.31139
Center_2021_08_22_22_35_22_546.jpg,Left_2021_08_22_22_35_22_546.jpg,Right_2021_08_22_22_35_22_546.jpg,0,0.3079237,0,29.41725
Center_2021_08_22_22_35_22_638.jpg,Left_2021_08_22_22_35_22_638.jpg,Right_2021_08_22_22_35_22_638.jpg,0,0.03040063,0,29.31286
Center_2021_08_22_22_35_22_731.jpg,Left_2021_08_22_22_35_22_731.jpg,Right_2021_08_22_22_35_22_731.jpg,0,0,0,29.02636
Center_2021_08_22_22_35_22_829.jpg,Left_2021_08_22_22_35_22_829.jpg,Right_2021_08_22_22_35_22_829.jpg,0,0,0,28.73438
Center_2021_08_22_22_35_22_926.jpg,Left_2021_08_22_22_35_22_926.jpg,Right_2021_08_22_22_35_22_926.jpg,0,0,0,28.44583
Center_2021_08_22_22_35_23_018.jpg,Left_2021_08_22_22_35_23_018.jpg,Right_2021_08_22_22_35_23_018.jpg,0,0,0,28.2171
Center_2021_08_22_22_35_23_112.jpg,Left_2021_08_22_22_35_23_112.jpg,Right_2021_08_22_22_35_23_112.jpg,0,0,0,27.93377
Center_2021_08_22_22_35_23_210.jpg,Left_2021_08_22_22_35_23_210.jpg,Right_2021_08_22_22_35_23_210.jpg,0,0,0,27.65329
Center_2021_08_22_22_35_23_304.jpg,Left_2021_08_22_22_35_23_304.jpg,Right_2021_08_22_22_35_23_304.jpg,-0.25,0,0,27.34265
Center_2021_08_22_22_35_23_397.jpg,Left_2021_08_22_22_35_23_397.jpg,Right_2021_08_22_22_35_23_397.jpg,-0.45,0,0,27.01433
Center_2021_08_22_22_35_23_493.jpg,Left_2021_08_22_22_35_23_493.jpg,Right_2021_08_22_22_35_23_493.jpg,0,0,0,26.72453
Center_2021_08_22_22_35_23_589.jpg,Left_2021_08_22_22_35_23_589.jpg,Right_2021_08_22_22_35_23_589.jpg,0,0,0,26.45356
Center_2021_08_22_22_35_23_684.jpg,Left_2021_08_22_22_35_23_684.jpg,Right_2021_08_22_22_35_23_684.jpg,0,0,0,26.18754
Center_2021_08_22_22_35_23_783.jpg,Left_2021_08_22_22_35_23_783.jpg,Right_2021_08_22_22_35_23_783.jpg,0,0,0,25.92455
Center_2021_08_22_22_35_23_879.jpg,Left_2021_08_22_22_35_23_879.jpg,Right_2021_08_22_22_35_23_879.jpg,-0.15,0,0,25.65614
Center_2021_08_22_22_35_23_974.jpg,Left_2021_08_22_22_35_23_974.jpg,Right_2021_08_22_22_35_23_974.jpg,-0.35,0,0,25.38554
Center_2021_08_22_22_35_24_074.jpg,Left_2021_08_22_22_35_24_074.jpg,Right_2021_08_22_22_35_24_074.jpg,0,0,0,25.12086
Center_2021_08_22_22_35_24_171.jpg,Left_2021_08_22_22_35_24_171.jpg,Right_2021_08_22_22_35_24_171.jpg,0,0,0,24.86754
Center_2021_08_22_22_35_24_271.jpg,Left_2021_08_22_22_35_24_271.jpg,Right_2021_08_22_22_35_24_271.jpg,0,0,0,24.61763
Center_2021_08_22_22_35_24_368.jpg,Left_2021_08_22_22_35_24_368.jpg,Right_2021_08_22_22_35_24_368.jpg,-0.25,0,0,24.34159
Center_2021_08_22_22_35_24_467.jpg,Left_2021_08_22_22_35_24_467.jpg,Right_2021_08_22_22_35_24_467.jpg,-0.5000001,0,0,23.96251
Center_2021_08_22_22_35_24_567.jpg,Left_2021_08_22_22_35_24_567.jpg,Right_2021_08_22_22_35_24_567.jpg,0,0,0,23.6015
Center_2021_08_22_22_35_24_670.jpg,Left_2021_08_22_22_35_24_670.jpg,Right_2021_08_22_22_35_24_670.jpg,0,0,0,23.34886
Center_2021_08_22_22_35_24_769.jpg,Left_2021_08_22_22_35_24_769.jpg,Right_2021_08_22_22_35_24_769.jpg,-0.15,0,0,23.1106
Center_2021_08_22_22_35_24_872.jpg,Left_2021_08_22_22_35_24_872.jpg,Right_2021_08_22_22_35_24_872.jpg,-0.4,0,0,22.80343
Center_2021_08_22_22_35_24_974.jpg,Left_2021_08_22_22_35_24_974.jpg,Right_2021_08_22_22_35_24_974.jpg,0,0,0,22.45068
Center_2021_08_22_22_35_25_077.jpg,Left_2021_08_22_22_35_25_077.jpg,Right_2021_08_22_22_35_25_077.jpg,0,0,0,22.2113
Center_2021_08_22_22_35_25_180.jpg,Left_2021_08_22_22_35_25_180.jpg,Right_2021_08_22_22_35_25_180.jpg,0,0,0,21.9414
Center_2021_08_22_22_35_25_277.jpg,Left_2021_08_22_22_35_25_277.jpg,Right_2021_08_22_22_35_25_277.jpg,0,0,0,21.76457
Center_2021_08_22_22_35_25_380.jpg,Left_2021_08_22_22_35_25_380.jpg,Right_2021_08_22_22_35_25_380.jpg,0,0.3087348,0,21.79968
Center_2021_08_22_22_35_25_485.jpg,Left_2021_08_22_22_35_25_485.jpg,Right_2021_08_22_22_35_25_485.jpg,0,0.6210153,0,22.18662
Center_2021_08_22_22_35_25_584.jpg,Left_2021_08_22_22_35_25_584.jpg,Right_2021_08_22_22_35_25_584.jpg,0,0.9189162,0,22.98788
Center_2021_08_22_22_35_25_685.jpg,Left_2021_08_22_22_35_25_685.jpg,Right_2021_08_22_22_35_25_685.jpg,0,1,0,23.95206
Center_2021_08_22_22_35_25_785.jpg,Left_2021_08_22_22_35_25_785.jpg,Right_2021_08_22_22_35_25_785.jpg,0,1,0,24.92196
Center_2021_08_22_22_35_25_888.jpg,Left_2021_08_22_22_35_25_888.jpg,Right_2021_08_22_22_35_25_888.jpg,0,1,0,25.87918
Center_2021_08_22_22_35_25_989.jpg,Left_2021_08_22_22_35_25_989.jpg,Right_2021_08_22_22_35_25_989.jpg,-0.15,1,0,26.81817
Center_2021_08_22_22_35_26_088.jpg,Left_2021_08_22_22_35_26_088.jpg,Right_2021_08_22_22_35_26_088.jpg,-0.4,0.8480089,0,27.57911
Center_2021_08_22_22_35_26_191.jpg,Left_2021_08_22_22_35_26_191.jpg,Right_2021_08_22_22_35_26_191.jpg,0,0.5387872,0,28.06716
Center_2021_08_22_22_35_26_292.jpg,Left_2021_08_22_22_35_26_292.jpg,Right_2021_08_22_22_35_26_292.jpg,0,0.2323531,0,28.22182
Center_2021_08_22_22_35_26_392.jpg,Left_2021_08_22_22_35_26_392.jpg,Right_2021_08_22_22_35_26_392.jpg,0,0,0,28.04625
Center_2021_08_22_22_35_26_494.jpg,Left_2021_08_22_22_35_26_494.jpg,Right_2021_08_22_22_35_26_494.jpg,0,0,0,27.76664
Center_2021_08_22_22_35_26_596.jpg,Left_2021_08_22_22_35_26_596.jpg,Right_2021_08_22_22_35_26_596.jpg,0,0,0,27.48777
Center_2021_08_22_22_35_26_693.jpg,Left_2021_08_22_22_35_26_693.jpg,Right_2021_08_22_22_35_26_693.jpg,0,0,0,27.21177
Center_2021_08_22_22_35_26_796.jpg,Left_2021_08_22_22_35_26_796.jpg,Right_2021_08_22_22_35_26_796.jpg,-0.1,0,0,26.93547
Center_2021_08_22_22_35_26_903.jpg,Left_2021_08_22_22_35_26_903.jpg,Right_2021_08_22_22_35_26_903.jpg,-0.4,0,0,26.50949
Center_2021_08_22_22_35_27_006.jpg,Left_2021_08_22_22_35_27_006.jpg,Right_2021_08_22_22_35_27_006.jpg,0,0,0,26.22957
Center_2021_08_22_22_35_27_105.jpg,Left_2021_08_22_22_35_27_105.jpg,Right_2021_08_22_22_35_27_105.jpg,0,0,0,25.96435
Center_2021_08_22_22_35_27_203.jpg,Left_2021_08_22_22_35_27_203.jpg,Right_2021_08_22_22_35_27_203.jpg,0,0,0,25.70334
Center_2021_08_22_22_35_27_304.jpg,Left_2021_08_22_22_35_27_304.jpg,Right_2021_08_22_22_35_27_304.jpg,0,0,0,25.44522
Center_2021_08_22_22_35_27_404.jpg,Left_2021_08_22_22_35_27_404.jpg,Right_2021_08_22_22_35_27_404.jpg,-0.15,0,0,25.18159
Center_2021_08_22_22_35_27_501.jpg,Left_2021_08_22_22_35_27_501.jpg,Right_2021_08_22_22_35_27_501.jpg,-0.4,0,0,24.83723
Center_2021_08_22_22_35_27_604.jpg,Left_2021_08_22_22_35_27_604.jpg,Right_2021_08_22_22_35_27_604.jpg,0,0,0,24.49672
Center_2021_08_22_22_35_27_701.jpg,Left_2021_08_22_22_35_27_701.jpg,Right_2021_08_22_22_35_27_701.jpg,0,0,0,24.24267
Center_2021_08_22_22_35_27_804.jpg,Left_2021_08_22_22_35_27_804.jpg,Right_2021_08_22_22_35_27_804.jpg,0,0,0,23.99825
Center_2021_08_22_22_35_27_915.jpg,Left_2021_08_22_22_35_27_915.jpg,Right_2021_08_22_22_35_27_915.jpg,0,0,0,23.75709
Center_2021_08_22_22_35_28_009.jpg,Left_2021_08_22_22_35_28_009.jpg,Right_2021_08_22_22_35_28_009.jpg,0,0,0,23.51855
Center_2021_08_22_22_35_28_109.jpg,Left_2021_08_22_22_35_28_109.jpg,Right_2021_08_22_22_35_28_109.jpg,0,0,0,23.28236
Center_2021_08_22_22_35_28_211.jpg,Left_2021_08_22_22_35_28_211.jpg,Right_2021_08_22_22_35_28_211.jpg,0,0,0,23.04861
Center_2021_08_22_22_35_28_309.jpg,Left_2021_08_22_22_35_28_309.jpg,Right_2021_08_22_22_35_28_309.jpg,0,0,0,22.8172
Center_2021_08_22_22_35_28_412.jpg,Left_2021_08_22_22_35_28_412.jpg,Right_2021_08_22_22_35_28_412.jpg,0,0.3127107,0,22.81936
Center_2021_08_22_22_35_28_516.jpg,Left_2021_08_22_22_35_28_516.jpg,Right_2021_08_22_22_35_28_516.jpg,0,0.6207405,0,23.18256
Center_2021_08_22_22_35_28_636.jpg,Left_2021_08_22_22_35_28_636.jpg,Right_2021_08_22_22_35_28_636.jpg,0,0.6099601,0,23.93877
Center_2021_08_22_22_35_28_749.jpg,Left_2021_08_22_22_35_28_749.jpg,Right_2021_08_22_22_35_28_749.jpg,0,0.276589,0,24.21733
Center_2021_08_22_22_35_28_860.jpg,Left_2021_08_22_22_35_28_860.jpg,Right_2021_08_22_22_35_28_860.jpg,-0.3,0,0,23.98091
Center_2021_08_22_22_35_28_980.jpg,Left_2021_08_22_22_35_28_980.jpg,Right_2021_08_22_22_35_28_980.jpg,0,0,0,23.59186
Center_2021_08_22_22_35_29_087.jpg,Left_2021_08_22_22_35_29_087.jpg,Right_2021_08_22_22_35_29_087.jpg,0,0,0,23.34833
Center_2021_08_22_22_35_29_208.jpg,Left_2021_08_22_22_35_29_208.jpg,Right_2021_08_22_22_35_29_208.jpg,0,0,0,23.06651
Center_2021_08_22_22_35_29_304.jpg,Left_2021_08_22_22_35_29_304.jpg,Right_2021_08_22_22_35_29_304.jpg,-0.25,0,0,22.80838
Center_2021_08_22_22_35_29_402.jpg,Left_2021_08_22_22_35_29_402.jpg,Right_2021_08_22_22_35_29_402.jpg,0,0,0,22.57464
Center_2021_08_22_22_35_29_521.jpg,Left_2021_08_22_22_35_29_521.jpg,Right_2021_08_22_22_35_29_521.jpg,0,0,0,22.30264
Center_2021_08_22_22_35_29_624.jpg,Left_2021_08_22_22_35_29_624.jpg,Right_2021_08_22_22_35_29_624.jpg,0,0,0,22.0789
Center_2021_08_22_22_35_29_698.jpg,Left_2021_08_22_22_35_29_698.jpg,Right_2021_08_22_22_35_29_698.jpg,-0.05,0,0,21.94502
Center_2021_08_22_22_35_29_770.jpg,Left_2021_08_22_22_35_29_770.jpg,Right_2021_08_22_22_35_29_770.jpg,-0.25,0,0,21.73998
Center_2021_08_22_22_35_29_866.jpg,Left_2021_08_22_22_35_29_866.jpg,Right_2021_08_22_22_35_29_866.jpg,0,0,0,21.51682
Center_2021_08_22_22_35_29_970.jpg,Left_2021_08_22_22_35_29_970.jpg,Right_2021_08_22_22_35_29_970.jpg,0,0,0,21.30154
Center_2021_08_22_22_35_30_077.jpg,Left_2021_08_22_22_35_30_077.jpg,Right_2021_08_22_22_35_30_077.jpg,-0.25,0,0,21.06031
Center_2021_08_22_22_35_30_184.jpg,Left_2021_08_22_22_35_30_184.jpg,Right_2021_08_22_22_35_30_184.jpg,0,0,0,20.80301
Center_2021_08_22_22_35_30_287.jpg,Left_2021_08_22_22_35_30_287.jpg,Right_2021_08_22_22_35_30_287.jpg,0,0,0,20.5931
Center_2021_08_22_22_35_30_393.jpg,Left_2021_08_22_22_35_30_393.jpg,Right_2021_08_22_22_35_30_393.jpg,0,0,0,20.38702
Center_2021_08_22_22_35_30_499.jpg,Left_2021_08_22_22_35_30_499.jpg,Right_2021_08_22_22_35_30_499.jpg,0,0,0,20.1418
Center_2021_08_22_22_35_30_604.jpg,Left_2021_08_22_22_35_30_604.jpg,Right_2021_08_22_22_35_30_604.jpg,-0.25,0,0,19.90981
Center_2021_08_22_22_35_30_711.jpg,Left_2021_08_22_22_35_30_711.jpg,Right_2021_08_22_22_35_30_711.jpg,-0.5000001,0,0,19.59408
Center_2021_08_22_22_35_30_815.jpg,Left_2021_08_22_22_35_30_815.jpg,Right_2021_08_22_22_35_30_815.jpg,0,0,0,19.23594
Center_2021_08_22_22_35_30_924.jpg,Left_2021_08_22_22_35_30_924.jpg,Right_2021_08_22_22_35_30_924.jpg,0,0,0,18.91637
Center_2021_08_22_22_35_31_027.jpg,Left_2021_08_22_22_35_31_027.jpg,Right_2021_08_22_22_35_31_027.jpg,0,0,0,18.87961
Center_2021_08_22_22_35_31_134.jpg,Left_2021_08_22_22_35_31_134.jpg,Right_2021_08_22_22_35_31_134.jpg,0,0,0,18.38885
Center_2021_08_22_22_35_31_240.jpg,Left_2021_08_22_22_35_31_240.jpg,Right_2021_08_22_22_35_31_240.jpg,0,0,0,18.11632
Center_2021_08_22_22_35_31_348.jpg,Left_2021_08_22_22_35_31_348.jpg,Right_2021_08_22_22_35_31_348.jpg,0,0.3224154,0,18.62733
Center_2021_08_22_22_35_31_452.jpg,Left_2021_08_22_22_35_31_452.jpg,Right_2021_08_22_22_35_31_452.jpg,0,0.6369411,0,18.75362
Center_2021_08_22_22_35_31_558.jpg,Left_2021_08_22_22_35_31_558.jpg,Right_2021_08_22_22_35_31_558.jpg,0,0.9553773,0,19.83335
Center_2021_08_22_22_35_31_662.jpg,Left_2021_08_22_22_35_31_662.jpg,Right_2021_08_22_22_35_31_662.jpg,0,1,0,20.95633
Center_2021_08_22_22_35_31_766.jpg,Left_2021_08_22_22_35_31_766.jpg,Right_2021_08_22_22_35_31_766.jpg,0,1,0,21.88984
Center_2021_08_22_22_35_31_870.jpg,Left_2021_08_22_22_35_31_870.jpg,Right_2021_08_22_22_35_31_870.jpg,-0.1,1,0,22.91033
Center_2021_08_22_22_35_31_975.jpg,Left_2021_08_22_22_35_31_975.jpg,Right_2021_08_22_22_35_31_975.jpg,-0.35,0.6816205,0,23.57543
Center_2021_08_22_22_35_32_078.jpg,Left_2021_08_22_22_35_32_078.jpg,Right_2021_08_22_22_35_32_078.jpg,0,0.3715839,0,23.87667
Center_2021_08_22_22_35_32_183.jpg,Left_2021_08_22_22_35_32_183.jpg,Right_2021_08_22_22_35_32_183.jpg,0,0.05841543,0,23.83308
Center_2021_08_22_22_35_32_285.jpg,Left_2021_08_22_22_35_32_285.jpg,Right_2021_08_22_22_35_32_285.jpg,0,0,0,23.58385
Center_2021_08_22_22_35_32_384.jpg,Left_2021_08_22_22_35_32_384.jpg,Right_2021_08_22_22_35_32_384.jpg,0,0,0,23.35124
